0.470933,0.097181,0.014854,0.658247,0.219480,0.981823,0.610710,0.926621
0.641189,0.787106,0.346557,0.511445,0.656873,0.535768,0.422032,0.246897
0.054553,0.591376,0.317059,0.549028,0.801396,0.866446,0.317167,0.829427
0.259332,0.393921,0.814108,0.761466,0.858030,0.875736,0.477016,0.551957
0.916849,0.125118,0.025309,0.353079,0.669244,0.995024,0.693683,0.327721
0.915324,0.639881,0.267686,0.207036,0.728234,0.067549,0.135901,0.491525
0.883894,0.040888,0.772153,0.984984,0.215970,0.316615,0.756805,0.001162
0.399166,0.615605,0.487048,0.035625,0.519348,0.382078,0.931795,0.219476
0.778102,0.979209,0.784127,0.470782,0.734000,0.740324,0.208245,0.866391
0.705992,0.139273,0.330369,0.227004,0.164854,0.204287,0.107581,0.829506
0.473350,0.662169,0.934340,0.279362,0.655606,0.083363,0.276228,0.544814
0.613205,0.584951,0.483322,0.977005,0.424055,0.797893,0.889641,0.706013
0.599088,0.126001,0.253427,0.803351,0.926936,0.715402,0.666696,0.135683
0.255161,0.244471,0.087899,0.597090,0.470524,0.646476,0.626663,0.784547
0.216870,0.658994,0.171283,0.946760,0.336999,0.064408,0.047722,0.337372
0.225695,0.879243,0.910989,0.459520,0.686935,0.807328,0.013691,0.200797
0.758268,0.084420,0.415964,0.694782,0.495325,0.552590,0.853839,0.007461
0.414752,0.621557,0.490195,0.539707,0.813973,0.058097,0.382304,0.797339
0.269112,0.889364,0.708453,0.000144,0.386397,0.403617,0.796021,0.276536
0.958523,0.854317,0.275703,0.992062,0.987059,0.627734,0.673461,0.034653
0.287413,0.587981,0.362060,0.193735,0.232790,0.368068,0.211311,0.032528
0.611811,0.532954,0.547482,0.988869,0.350994,0.924256,0.734653,0.303472
0.472213,0.442193,0.309136,0.304759,0.675376,0.968704,0.839813,0.244288
0.159965,0.846391,0.467160,0.941749,0.534773,0.814183,0.868180,0.523793
0.524192,0.669198,0.708163,0.379346,0.398452,0.865990,0.201343,0.225571
0.859219,0.710093,0.048068,0.728176,0.503251,0.553777,0.922432,0.289317
0.682816,0.571462,0.651023,0.178932,0.975988,0.331189,0.010822,0.750456
0.460681,0.419193,0.564985,0.004202,0.194658,0.854309,0.744536,0.906844
0.768873,0.347657,0.744056,0.437205,0.625353,0.295302,0.792246,0.543161
0.540791,0.704559,0.843794,0.946210,0.697512,0.673874,0.433250,0.836144
0.271918,0.348009,0.164403,0.285237,0.713717,0.786105,0.372099,0.523162
0.310514,0.533695,0.228003,0.654867,0.370026,0.394682,0.969921,0.578960
0.414964,0.403269,0.991476,0.007179,0.036928,0.070808,0.195454,0.748077
